postalCode,bed,bath,car,propType,diffDate,Year,Month,Day,Quarter,medSellPrice,Model
10873.16064,15382.86045,10460.75968,2806.987758,41812.03494,19830.95603,12373.54471,7846.390251,96.980825,18794.90086,424212.3819,Ridge
10791.69196,15375.65173,10423.01204,2786.838794,41795.26424,23572.26064,8210.097778,8799.382063,NaN,18523.7834,424342.3551,Lasso
11090.1801,15311.26508,10496.03139,2828.355324,41814.52989,19311.52041,12946.12712,7484.900722,110.067226,18591.50967,423846.1799,ElasticNet
